"","season","team","wp_total","wp_percentile","coach","offense","defense"
"1",2015,"ARI",0.0577348725128117,0.427634896621281,"Bruce Arians","Harold Goodwin","James Bettcher"
"2",2016,"ARI",-1.21070229852922,0.0269011898603207,"Bruce Arians","Harold Goodwin","James Bettcher"
"3",2017,"ARI",-0.90437954232402,0.0629842539365159,"Bruce Arians","Harold Goodwin","James Bettcher"
"4",2018,"ARI",-0.768017467427855,0.0304324612920448,"Steve Wilks","Byron Leftwich, Mike McCoy","Al Holcomb"
"5",2019,"ARI",0.492736865390532,0.752114164904863,"Kliff Kingsbury","","Vance Joseph"
"6",2020,"ARI",0.269181912009196,0.503914988814318,"Kliff Kingsbury","","Vance Joseph"
"7",2021,"ARI",0.566931409689429,0.686185044359949,"Kliff Kingsbury","","Vance Joseph"
"8",2022,"ARI",-0.329327708522784,0.0905257936507936,"Kliff Kingsbury","","Vance Joseph"
"9",2023,"ARI",1.20707792285951,0.839647367167024,"Jonathan Gannon","Drew Petzing","Nick Rallis"
"10",2024,"ARI",-0.101793173860148,0.302611752887996,"Jonathan Gannon","Drew Petzing","Nick Rallis"
"11",2025,"ARI",-0.513943372079625,0.0331632653061225,"Jonathan Gannon","Drew Petzing","Nick Rallis"
"12",2015,"ATL",-0.462660539120409,0.0590015128593041,"Dan Quinn","Kyle Shanahan","Richard Smith"
"13",2016,"ATL",0.317596814884003,0.617175375064666,"Dan Quinn","Kyle Shanahan","Richard Smith"
"14",2017,"ATL",0.204399185313375,0.379655086228443,"Dan Quinn","Steve Sarkisian","Marquand Manuel"
"15",2018,"ATL",0.346808982727337,0.536839295248265,"Dan Quinn","Steve Sarkisian","Marquand Manuel"
"16",2019,"ATL",0.631308055860312,0.843287526427061,"Dan Quinn","Dirk Koetter",""
"17",2020,"ATL",0.438026322658318,0.562639821029083,"Raheem Morris","Dirk Koetter","Jeff Ulbrich"
"18",2020,"ATL",0.438026322658318,0.562639821029083,"Dan Quinn","Dirk Koetter","Raheem Morris, Jeff Ulbrich"
"19",2021,"ATL",0.427628006000513,0.531558935361217,"Arthur Smith","Dave Ragone","Dean Pees"
"20",2022,"ATL",0.60970412788447,0.687003968253968,"Arthur Smith","Dave Ragone","Dean Pees"
"21",2023,"ATL",0.61680201314105,0.494639027877055,"Arthur Smith","Dave Ragone","Ryan Nielsen"
"22",2024,"ATL",0.625716693021679,0.690858864892014,"Raheem Morris","Zac Robinson","Jimmy Lake"
"23",2025,"ATL",1.97923457826519,0.936479591836735,"Raheem Morris","Zac Robinson","Jeff Ulbrich"
"24",2015,"BAL",0.0313822666447961,0.366111951588502,"John Harbaugh","Marc Trestman","Dean Pees"
"25",2016,"BAL",0.0630984462521275,0.496120020693223,"John Harbaugh","Marty Mornhinweg, Marc Trestman","Dean Pees"
"26",2017,"BAL",0.887734152381157,0.778305423644089,"John Harbaugh","Marty Mornhinweg","Dean Pees"
"27",2018,"BAL",0.448650720483508,0.591030432461292,"John Harbaugh","Marty Mornhinweg","Don Martindale"
"28",2019,"BAL",0.520319040849432,0.783826638477801,"John Harbaugh","Greg Roman","Don Martindale"
"29",2020,"BAL",0.796201671563069,0.8165548098434,"John Harbaugh","Greg Roman","Don Martindale"
"30",2021,"BAL",1.14476986377839,0.967807351077313,"John Harbaugh","Greg Roman","Don Martindale"
"31",2022,"BAL",0.318399011774346,0.401041666666667,"John Harbaugh","Greg Roman","Mike Macdonald"
