"","season","team","coach","offense","defense","player_dev_percentile","offense_dev_percentile","defense_dev_percentile","win_percentile","playoff_percentile","close_win_percentile","aggressiveness_percentile","two_minute_percentile","division_win_percentile","score"
"1",2025,"ARI","Jonathan Gannon","Drew Petzing","Nick Rallis",0.272727272727273,0.333333333333333,0.303030303030303,0,0,0.0909090909090909,0.0331632653061225,0.214893128016548,0,1.24805639332267
"2",2024,"ARI","Jonathan Gannon","Drew Petzing","Nick Rallis",0.558823529411765,0.764705882352941,0.352941176470588,0.441176470588235,0,0.382352941176471,0.302611752887996,0.846378111684234,0.407608695652174,4.0565985602244
"3",2023,"ARI","Jonathan Gannon","Drew Petzing","Nick Rallis",0.147058823529412,0.352941176470588,0.0588235294117647,0.0588235294117647,0,0.176470588235294,0.839647367167024,0.633401686033265,0,2.26716670025911
"4",2022,"ARI","Kliff Kingsbury","","Vance Joseph",0.0294117647058824,0.117647058823529,0.147058823529412,0.0588235294117647,0,0.0294117647058824,0.0905257936507936,0.404659579280706,0.0516304347826087,0.929168748890579
"5",2021,"ARI","Kliff Kingsbury","","Vance Joseph",0.787878787878788,0.696969696969697,0.848484848484849,0.787878787878788,0.575757575757576,0.333333333333333,0.686185044359949,0.11415220293725,0.64945652173913,5.48009679933936
"6",2020,"ARI","Kliff Kingsbury","","Vance Joseph",0.558823529411765,0.5,0.676470588235294,0.558823529411765,0,0.470588235294118,0.503914988814318,0.314002828854314,0.222826086956522,3.8054497869781
"7",2019,"ARI","Kliff Kingsbury","","Vance Joseph",0.454545454545455,0.787878787878788,0.151515151515152,0.151515151515152,0,0.303030303030303,0.752114164904863,0.881380651434127,0.0516304347826087,3.53361009960645
"8",2018,"ARI","Steve Wilks","Byron Leftwich, Mike McCoy","Al Holcomb",0,0,0.515151515151515,0,0,0.121212121212121,0.0304324612920448,0.336684649337911,0.222826086956522,1.22630683395011
"9",2017,"ARI","Bruce Arians","Harold Goodwin","James Bettcher",0.34375,0,0.78125,0.46875,0,0.875,0.0629842539365159,0.1886932804364,0.407608695652174,3.12803623002509
"10",2016,"ARI","Bruce Arians","Harold Goodwin","James Bettcher",NA,NA,NA,0.323529411764706,0,0.352941176470588,0.0269011898603207,0.555774439793154,0.64945652173913,NA
